019898~004~5622985*PED~Oct 22, 2014~~~U-335~
019898~008~5030447~Jul 9, 2008~~~~
019898~008~5030447*PED~Jan 9, 2009~~~~
019898~008~5180589~Jul 9, 2008~~~~
019898~008~5180589*PED~Jan 9, 2009~~~~
019898~008~5622985~Apr 22, 2014~~~U-335~
019898~008~5622985*PED~Oct 22, 2014~~~U-335~
019901~001~5403856~Apr 4, 2012~~~U-71~
019901~001~7368469~Aug 30, 2020~~~U-871~
019901~002~5403856~Apr 4, 2012~~~U-71~
019901~002~7368469~Aug 30, 2020~~~U-871~
019901~003~5403856~Apr 4, 2012~~~U-71~
019901~003~7368469~Aug 30, 2020~~~U-871~
019901~004~5403856~Apr 4, 2012~~~U-71~
019901~004~7368469~Aug 30, 2020~~~U-871~
019915~002~5006344~Jul 10, 2009~~~~
019915~002~5006344*PED~Jan 10, 2010~~~~
019915~003~5006344~Jul 10, 2009~~~~
019915~003~5006344*PED~Jan 10, 2010~~~~
019915~004~5006344~Jul 10, 2009~~~~
019915~004~5006344*PED~Jan 10, 2010~~~~
019928~001~6056941~Jul 28, 2019~~Y~~
019940~001~4695590~Apr 17, 2008~~~~
019940~001~5008294~Apr 15, 2008~~~U-68~
019955~001~5047398~Sep 10, 2008~~~~
019955~001~5500413~Jun 29, 2013~~~~
019955~001~5674850~Dec 23, 2013~~~~
019955~001~5763407~Jun 29, 2013~~~~
019955~001~7022340~Apr 30, 2023~~Y~~
019955~002~5047398~Sep 10, 2008~~~~
019955~002~5500413~Jun 29, 2013~~~~
019955~002~5674850~Dec 23, 2013~~~~
019955~002~5763407~Jun 29, 2013~~~~
019955~002~7022340~Apr 30, 2023~~Y~~
019962~001~4927640*PED~Nov 22, 2007~~~~
019962~001~4957745~Sep 18, 2007~~Y~U-107~
019962~001~4957745*PED~Mar 18, 2008~~~~
019962~001~5081154~Sep 18, 2007~Y~~~
019962~001~5081154*PED~Mar 18, 2008~~~~
019962~002~4927640*PED~Nov 22, 2007~~~~
019962~002~4957745~Sep 18, 2007~~Y~U-107~
019962~002~4957745*PED~Mar 18, 2008~~~~
019962~002~5081154~Sep 18, 2007~Y~~~
019962~002~5081154*PED~Mar 18, 2008~~~~
019962~003~4927640*PED~Nov 22, 2007~~~~
019962~003~4957745~Sep 18, 2007~~Y~U-107~
019962~003~4957745*PED~Mar 18, 2008~~~~
019962~003~5081154~Sep 18, 2007~Y~~~
019962~003~5081154*PED~Mar 18, 2008~~~~
019962~004~4927640*PED~Nov 22, 2007~~~~
019962~004~4957745~Sep 18, 2007~~Y~U-107~
019962~004~4957745*PED~Mar 18, 2008~~~~
019962~004~5081154~Sep 18, 2007~Y~~U-107~
019962~004~5081154*PED~Mar 18, 2008~~~~
019983~001~4946853~Aug 7, 2007~~~U-56~
019983~002~4946853~Aug 7, 2007~~~U-56~
019983~003~4946853~Aug 7, 2007~~~U-56~
019983~004~4946853~Aug 7, 2007~~~U-56~
020005~001~5198226~Mar 30, 2010~~~~
020005~002~5198226~Mar 30, 2010~~~~
020005~003~5198226~Mar 30, 2010~~~~
020011~001~5575987~Sep 2, 2013~~~~
020011~001~5631021~May 20, 2014~~~~
020011~001~5716640~Sep 2, 2013~~~~
020031~001~5872132~May 19, 2015~~~~
020031~001~5872132*PED~Nov 19, 2015~~~~
020031~001~5900423~May 19, 2015~~~~
020031~001~5900423*PED~Nov 19, 2015~~~~
020031~001~6113944~Dec 14, 2014~~~~
020031~001~6113944*PED~Jun 14, 2015~~~~
020031~001~6121291~Mar 17, 2017~~~U-286~
